"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"53",10000,23.779744437365,1.10024349351317,1.1002736731381,182.657501296997,20000,4.04908368260981,4.04908368260981,6.55461,3.99082434538213,53987.7824347974,53987.7824347974,1,18.3013698630137,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"50522633"
"54",10000,1.64614642799727e-174,1.02133481802408,1.79827426983268,125.467458152771,136000,3.75133957692289,3.75133957692289,0.9783,4.90442932726124,340121.454974342,340121.454974342,1,175.495890410959,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47722932"
"55",10000,5.79082163690408,1.16968215517414,0.583466640659306,151.286326408386,351000,9.66355655535263,10.6421383014058,3.70142459091636,3.98420862666009,2490260.36252895,2261272.23395252,0.908046511111037,378.103103830654,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"89365365"
"56",10000,9.35634294566131,1.6306696146589,0.818371418869507,98.363286113739,288000,5.6,5.6,4.10886,3.4437527315869,1075200,1075200,1,298.257534246575,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47727897"
"57",10000,15.9416775482766,2.32092919300236,1.07717245191556,76.238244342804,34011.06,5.60541127033332,5.60541127033332,6.71766,4.69821948371086,127097.319359989,127097.319359989,1,33.6383360547945,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37100413"
"58",10000,54.132184220353,3.63722658659607,1.65832394864795,61.0444770336151,10000,3.74987753291789,3.74987753291789,14.54406,5.37214323386295,24999.1835527859,24999.1835527859,1,9.94520547945205,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37095713"
"59",10000,32.3164648732774,3.03025535726348,1.27460694452317,64.6472457313538,28000,4.62972191779895,4.62972191779895,10.66347,4.79689486500538,86421.4757989137,86421.4757989137,1,27.8465753424658,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37094407"
"60",10000,10.7482416278432,2.13387676157472,0.709605419283869,70.9364523124695,20000,4.78043481689322,4.78043481689322,4.95672,2.92908432080818,63739.1308919096,63739.1308919096,1,18.1369863013699,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37099005"
"61",10000,179.515677621783,2.99110494916617,1.9475859972737,79.7218181228638,13000,2.93690011267484,2.93690011267484,33.45786,5.37424783514224,25453.1343098486,25453.1343098486,1,12.8931506849315,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37097257"
"62",10000,61.5610818629042,3.99609971545469,1.40361874630776,56.8604647731781,27517.64,4.05962061738394,4.05962061738394,17.15286,4.8060728901256,74474.1191238326,74474.1191238326,1,27.3668584109589,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37094235"
"63",10000,14.8282125922191,1.49891301103129,0.925032998927711,107.035336341858,10000,3.69145977812607,3.69145977812607,4.69584,3.16115050611858,24609.7318541738,24609.7318541738,1,9.06849315068493,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37098943"
"64",10000,18.3747745714474,2.90416554373496,0.683101602894547,56.5734625530243,43000,5.52457114160767,5.52457114160767,8.60904,3.29981818107745,158371.039392753,158371.039392753,1,36.7561643835616,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"166173797"
"65",10000,14.2815514040382,3.54713444444354,1.99329770689708,59.7262507152557,19000,3.31752062902203,3.31752062902203,6.32634,6.21020378793215,42021.9279676124,42021.9279676124,1,17.6986301369863,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"89365163"
"66",10000,42.3709185814525,3.70348858075928,0.94711080038203,49.8025601482391,14000,3.23822265626178,3.23822265626178,12.91356,3.21601725094277,30223.4114584433,30223.4114584433,1,11.2383561643836,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52850133"
"67",10000,42.8892355434397,3.56332880001884,0.943881195890652,49.8025601482391,41000,2.73960907859817,2.73960907859817,11.83743,2.85749993609153,74882.6481483501,74882.6481483501,1,32.9123287671233,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52850185"
"68",10000,63.0991950527951,6.46470582869917,0.752250153546926,37.4788281154633,11000,3.08742595032922,3.08742595032922,19.37034,2.41950416900356,22641.1236357476,22641.1236357476,1,9.1013698630137,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37096043"
"69",10000,87.072362608919,4.92105463478127,1.03707614598776,47.3320668983459,12000,3.53118482306461,3.53118482306461,24.68577,3.68262730981051,28249.4785845168,28249.4785845168,1,9.86301369863014,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52849973"
"70",10000,1.86732672541515,3.76348594294069,1.8467187979484,55.4828785228729,22000,3.4196163438552,3.4196163438552,4.14147,6.00791114344749,50154.3730432096,50154.3730432096,1,19.8301369863014,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"167102009"
"71",10000,15.6984817437435,3.1844566764677,0.696220424242544,51.9267435455322,14000,4.67000481564986,4.67000481564986,6.88071,2.61578012064474,43586.711612732,43586.711612732,1,14.0767123287671,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52846425"
"72",10000,4.94065645841247e-324,0.622751258265607,0.968751340235194,56.0596722698212,3072000,6.2,6.2,0.03261,4.51988718858145,12697600,12697600,1,3080.41643835616,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61772655"
